pc11_state_id,pc11_district_id,pc11_subdistrict_id,facebook_pop_sum,facebook_pop_num_cells
21,375,02836,15288.213427046414,1595.0087887441914
21,375,02837,85659.07769916067,6152.250574943616
21,375,02838,63001.07509071322,7654.624782190269
21,375,02839,106355.22379962492,10474.849480331291
21,375,02840,55748.24681999094,4700.600056566764
21,375,02841,91921.91913868774,10851.378487069444
21,375,02842,95383.4566185877,12350.267123552563
21,375,02843,135679.65886183258,13732.120141433552
21,375,02844,173420.8662526128,17167.477726986428
21,375,02845,105043.5330219115,10242.71961515896
21,375,02846,54776.902122620486,7685.739200182259
21,375,02847,19149.99091196331,1989.256145173049
21,375,02848,96785.72166452731,10416.374475965022
21,375,02849,62247.68121411317,6772.236119113979
21,375,02850,130337.7273827401,14041.573782011255
21,375,02851,87020.3397654935,10144.0899110093
21,375,02852,26343.10435997305,2732.7289971662685
21,375,02853,130759.62106390067,7335.831800584314
21,375,02854,135562.91114515252,6002.205925939482
21,375,02855,80617.62178240693,2721.3072048632894
21,375,02856,96159.85557879058,2265.0187823297456
21,375,02857,98614.06096601136,3473.916244697277
21,376,02858,117400.88583834014,7011.215880794916
21,376,02859,58110.16181865445,4162.4885291385
21,376,02860,70310.84564009537,4256.587546129711
21,376,02861,41101.61622087488,4838.608775583212
21,376,02862,44415.22115518883,5147.608802544593
21,376,02863,95098.690625365,9898.593764502846
21,376,02864,92381.34765454456,8826.59070780204
21,376,02865,83036.79275943807,6875.052875009656
21,376,02866,90647.19166209036,5479.750638321508
21,376,02867,143418.08880401435,13846.652809999769
21,376,02868,84415.7591163265,8491.155474764295
21,376,02869,24097.027749024102,3561.946917357061
21,376,02870,109375.81502416576,13349.314668283798
21,376,02871,60106.37800778901,6302.003295712058
21,376,02872,103550.8588999212,9260.892626038543
21,376,02873,4484.022745197594,358.5534123157631
21,376,02874,89829.00600777699,6408.942989101342
21,376,02875,109281.30211430158,10505.197682089296
21,376,02876,73269.77097740147,7524.095984839521
21,376,02877,137842.40274300662,8929.626744756766
21,376,02878,91584.5569949155,5011.722978178695
21,376,02879,111243.32022071518,3983.570701460907
21,376,02880,146669.17843601046,6685.391763597792
21,376,02881,104413.68222388477,7581.462295062158
21,376,02882,135326.29198036483,9620.493299574107
21,376,02883,121903.29267510289,9239.456109268562
21,376,02884,143364.3249040042,8584.59786207974
21,376,02885,86202.26167200768,5295.524748101714
21,376,02886,101485.76208155788,6723.4213028039085
21,376,02887,42450.9012462406,3712.177060266142
21,376,02888,138157.17789824677,9426.2328166214
21,377,02889,87481.05809282219,2644.956660969183
21,377,02890,153839.26102503858,4749.379195044399
21,377,02891,211321.18424185185,7641.923501966463
21,377,02892,103002.0911586144,3236.256175771356
21,377,02893,191996.76069839907,5300.106922507752
21,377,02894,132404.8400718469,4680.936639499618
21,377,02895,144232.634217879,5366.039482575121
21,377,02896,23308.69687251465,771.5202929490479
21,377,02897,183416.15784191567,9490.361328471046
21,377,02898,7654.234796412383,532.9378866581246
21,377,02899,56193.16048951922,1991.6745452644536
21,377,02900,10144.51123563246,1314.363054509275
21,377,02901,12787.650007198832,2113.018481235733
21,377,02902,69550.06050913442,5679.446062350227
21,377,02903,159293.8331768315,5834.966651120805
21,377,02904,63766.31408245378,4661.186291807133
21,377,02905,41144.84267634374,1513.7240258525126
21,377,02906,126633.17998393194,3678.6662800281774
21,377,02907,315079.50273278,6168.737420636886
21,377,02908,166906.80100350094,4634.366010243306
21,377,02909,158185.2800518732,8247.260083298854
21,378,02910,69954.67279878532,1818.4505374174328
21,378,02911,38543.16257790029,1433.880990937585
21,378,02912,57409.70667866892,3144.3816614659445
21,378,02913,90125.29069439389,2719.8096095691435
21,378,02914,415365.2932261286,12359.578968120666
21,378,02915,160789.98798979903,2739.70523374714
21,378,02916,130168.54699117762,4346.278622851707
21,378,02917,164927.19030192212,2008.161608542316
21,378,02918,169232.99462253845,2443.384837138874
21,378,02919,103383.52036146124,3316.7992251929827
21,378,02920,183198.93468956824,8753.124856911278
21,378,02921,4536.965459874528,235.55513269687071
21,379,02922,140396.8544610674,3760.9327126404096
21,379,02923,182474.6328850274,7306.822442695142
21,379,02924,39313.21152445787,977.7517789751292
21,379,02925,178444.49940519495,3305.50711993
21,379,02926,238729.5277837637,5309.093486029608
21,379,02927,158463.08337201484,2434.305564248265
21,379,02928,97294.3119713626,5479.572484892968
21,379,02929,83410.78765268791,1962.7040127087384
21,379,02930,68061.43248361675,1562.6475412032014
21,379,02931,186945.88099845088,4444.641222410137
21,379,02932,125662.6898848388,3320.811890163459
21,379,02933,154370.16702601028,3730.8174574086806
21,380,02934,124058.69031837568,4709.370872826381
21,380,02935,42048.24768496103,2498.7908770172908
21,380,02936,51193.67024282378,2857.493305707947
21,380,02937,57339.51863285823,3578.538776550391
21,380,02938,99458.1656909114,1960.1544080157764
21,380,02939,255879.659236154,6944.877292039746
21,380,02940,314450.44188932894,12707.563132273755
21,380,02941,47065.91839925235,2113.690680357715
21,380,02942,55114.377185795296,1782.25190616904
21,380,02943,181511.2482756824,3428.8856667750515
21,381,02944,105178.04553210252,5248.493725867476
21,381,02945,70183.58542091268,3344.3033545539874
21,381,02946,155538.55695804986,5693.323208302259
21,381,02947,71690.70543949523,2350.6291410947124
21,381,02948,182286.7204251105,6647.126977979468
21,381,02949,88999.80715362373,2686.744467106741
21,381,02950,95157.5301072508,5537.6998402432655
21,381,02951,44160.74852459912,2786.569566075498
21,381,02952,33168.46173651639,2340.634891757858
21,381,02953,49018.41452167619,3629.197589424992
21,381,02954,136390.70562738166,7475.175756962446
21,381,02955,81345.95442126176,4238.82316889008
21,381,02956,179673.26833247897,5583.38362330338
21,381,02957,160329.72552918704,5239.857817998134
21,381,02958,45706.11678981287,1783.444721714003
21,381,02959,64580.922932271016,2545.1893797043303
21,381,02960,101503.0975821534,5493.013710467905
