pc11_district_id,pc11_state_id,facebook_pop_sum,facebook_pop_num_cells
105,08,2895257.367928738,178565.96936632827
106,08,1445444.3850049626,75422.0969972128
107,08,1679794.9774908044,96163.17677772524
108,08,1508239.9865916972,138279.97310591792
109,08,2135725.8142762715,176858.9179641098
110,08,7984391.229384261,694503.8948477288
111,08,2992673.3061668086,442748.7609394951
112,08,3757573.378860483,512970.1875644811
113,08,4524238.846142351,486220.8053957048
114,08,836699.0238387337,121861.2846524636
115,08,3291590.264194025,374752.0992686745
116,08,2211074.796638669,242363.4959303414
117,08,1233362.623273825,122569.91412862176
118,08,2210421.788521341,267362.89587290934
119,08,2924616.236938635,259018.0001604401
120,08,1612247.9848959493,150301.60762619355
121,08,1301742.049467265,133050.38199528866
122,08,2752658.6414232817,220749.46372464712
123,08,1274900.3842838532,126504.10317874794
124,08,1646809.6779454567,207968.37870126928
125,08,2180292.841120813,228027.7395196139
126,08,1806289.87325505,176056.20174605338
127,08,2249523.9656260414,137275.08318986566
128,08,1416015.4290070797,114856.5972395521
129,08,1631811.2136727653,108150.13114220512
130,08,3561659.518590569,394980.27758953534
131,08,1082019.8982864842,126255.7098832761
241,11,54840.253727342526,9571.291923220237
242,11,143973.30062383006,19129.959336050844
243,11,147456.26655643975,21053.69130621609
244,11,315896.45042397105,26893.94649829777
602,33,6210460.979692218,361634.4428278963
603,33,3675622.544879813,81930.18763794881
604,33,4931923.007432628,340430.07034298085
605,33,4198004.690166031,352705.36551173776
606,33,2872277.112335594,245817.82384300168
607,33,3961225.232759612,323223.873719977
608,33,3857705.9907617113,384231.1048405939
609,33,1998722.408891684,276949.1163344842
610,33,2278651.4043399035,351379.57538129773
611,33,702222.7798361619,64854.24076791065
612,33,2399738.216505073,243665.3874572864
613,33,1205636.6144092786,173343.8933742785
614,33,2946792.5050070803,235173.69631240147
615,33,587424.9621496507,66959.14283314982
616,33,755769.2032240323,79870.37078183179
617,33,2897096.7057818444,186753.7148300544
618,33,1760623.3421371533,128684.28259254678
619,33,1359062.2240233964,86685.72104585907
620,33,2462560.187840431,173138.31535242253
621,33,1837776.977535309,170527.21673802083
622,33,1538927.227392075,147515.1233164202
623,33,3339872.933065863,176482.6384701804
624,33,1363606.6840916737,80042.47541513662
625,33,2092779.728305851,166861.96936480526
626,33,1486952.2033286735,111982.2457134172
627,33,1795458.493407124,141879.14755365995
628,33,3430109.144955025,248025.611421458
629,33,2039243.7664900627,86994.14080196411
630,33,1708004.7323312464,188665.95332144457
631,33,2147179.89038773,239413.99348674988
632,33,4062053.729178178,399087.8121579135
633,33,3044292.755710396,431238.9467840254
289,16,1922201.6472837569,167105.29082709592
290,16,963732.9175840408,95440.69494293124
291,16,447205.8109621158,57717.91359036112
292,16,784492.6926383482,72004.902167273
132,09,4039093.722408183,126561.3869347439
133,09,4635086.867711475,151513.48741974795
134,09,4199691.664297433,141211.43473554667
135,09,5723101.420286005,186108.96512847528
136,09,2757272.826855421,87165.13749075578
137,09,2170616.559853872,86569.40423115915
138,09,3808005.047411609,151196.4229226909
